Scope,Year,Mode,TradeType,ContCode,DF,TradeValue,Weight,WeightLb
National,1993,Mail (U.S. Postal Service),Export,U,1,8738802.0,,
National,1993,Mail (U.S. Postal Service),Export,U,2,765121.0,,
National,1993,Mail (U.S. Postal Service),Import,U,U,1333259.0,,
National,1993,Other/Unknown,Export,U,1,12097173096.0,,
National,1993,Other/Unknown,Export,U,2,635553088.0,,
National,1993,Other/Unknown,Import,U,U,438580112.0,,
National,1993,Pipeline,Export,U,1,618329.0,,
National,1993,Pipeline,Import,U,U,227810779.0,,
National,1993,Rail,Export,U,1,3882400444.0,,
National,1993,Rail,Export,U,2,21191027.0,,
National,1993,Rail,Import,1,U,42681968.0,,
National,1993,Rail,Import,U,U,6180116140.0,,
National,1993,Truck,Export,U,1,34789267249.0,,
National,1993,Truck,Export,U,2,840811940.0,,
National,1993,Truck,Import,1,U,37569737.0,,
National,1993,Truck,Import,U,U,19801973144.0,,
National,1994,Mail (U.S. Postal Service),Export,U,1,5488889.0,,
National,1994,Mail (U.S. Postal Service),Export,U,2,3613.0,,
National,1994,Mail (U.S. Postal Service),Import,U,U,1861880.0,,
National,1994,Other/Unknown,Export,U,1,3422854410.0,,
National,1994,Other/Unknown,Export,U,2,94397278.0,,
National,1994,Other/Unknown,Import,U,U,643485952.0,,
National,1994,Pipeline,Export,U,1,420097.0,,
National,1994,Pipeline,Import,U,U,187900655.0,,
National,1994,Rail,Export,U,1,5123085670.0,,
National,1994,Rail,Export,U,2,27830181.0,,
National,1994,Rail,Import,1,U,205960445.0,,
National,1994,Rail,Import,U,U,7563042328.0,,
National,1994,Truck,Export,U,1,46265273849.0,,
National,1994,Truck,Export,U,2,1507990132.0,,
National,1994,Truck,Import,1,U,344133975.0,,
National,1994,Truck,Import,U,U,34669811295.0,,
National,1995,Foreign Trade Zones (FTZs),Import,U,U,1099153524.0,413450.41,911501.04
National,1995,Mail (U.S. Postal Service),Export,U,1,26769432.0,,
National,1995,Mail (U.S. Postal Service),Export,U,2,63988.0,,
National,1995,Mail (U.S. Postal Service),Import,U,U,1252973.0,100.28,221.08
National,1995,Other/Unknown,Export,U,1,1979103946.0,,
National,1995,Other/Unknown,Export,U,2,46656178.0,,
National,1995,Other/Unknown,Import,U,U,768924379.0,6497.03,14323.48
National,1995,Pipeline,Export,U,1,1016099.0,,
National,1995,Pipeline,Import,U,U,27394482.0,228794.38,504404.67
National,1995,Rail,Export,U,1,4646194717.0,,
National,1995,Rail,Export,U,2,48238715.0,,
