Year,MexState,Mode,TradeType,TradeValue,Weight,WeightLb
1993,Aguascalientes,Other/Unknown,Export,5968364.0,,
1993,Aguascalientes,Rail,Export,16659284.0,,
1993,Aguascalientes,Truck,Export,284650196.0,,
1993,Baja California,Mail (U.S. Postal Service),Export,736304.0,,
1993,Baja California,Other/Unknown,Export,144801509.0,,
1993,Baja California,Rail,Export,30099078.0,,
1993,Baja California,Truck,Export,4292430131.0,,
1993,Baja California Sur,Other/Unknown,Export,826216.0,,
1993,Baja California Sur,Rail,Export,450193.0,,
1993,Baja California Sur,Truck,Export,64706299.0,,
1993,Campeche,Rail,Export,124872.0,,
1993,Campeche,Truck,Export,12872699.0,,
1993,Chiapas,Mail (U.S. Postal Service),Export,67963.0,,
1993,Chiapas,Other/Unknown,Export,349483.0,,
1993,Chiapas,Rail,Export,425967.0,,
1993,Chiapas,Truck,Export,33560981.0,,
1993,Chihuahua,Other/Unknown,Export,748039791.0,,
1993,Chihuahua,Rail,Export,84661943.0,,
1993,Chihuahua,Truck,Export,6315429865.0,,
1993,Coahuila,Mail (U.S. Postal Service),Export,161897.0,,
1993,Coahuila,Other/Unknown,Export,573116292.0,,
1993,Coahuila,Rail,Export,483528971.0,,
1993,Coahuila,Truck,Export,1257075929.0,,
1993,Colima,Other/Unknown,Export,456729.0,,
1993,Colima,Rail,Export,3347555.0,,
1993,Colima,Truck,Export,24195618.0,,
1993,Distrito Federal,Mail (U.S. Postal Service),Export,2380309.0,,
1993,Distrito Federal,Other/Unknown,Export,402061470.0,,
1993,Distrito Federal,Rail,Export,1510648073.0,,
1993,Distrito Federal,Truck,Export,5900908018.0,,
1993,Durango,Other/Unknown,Export,25390662.0,,
1993,Durango,Rail,Export,48206495.0,,
1993,Durango,Truck,Export,132253727.0,,
1993,Estado de Mexico,Mail (U.S. Postal Service),Export,60685.0,,
1993,Estado de Mexico,Other/Unknown,Export,463149128.0,,
1993,Estado de Mexico,Rail,Export,284518035.0,,
1993,Estado de Mexico,Truck,Export,3444783338.0,,
1993,Guanajuato,Mail (U.S. Postal Service),Export,185542.0,,
1993,Guanajuato,Other/Unknown,Export,27683528.0,,
1993,Guanajuato,Rail,Export,60316560.0,,
1993,Guanajuato,Truck,Export,355634574.0,,
1993,Guerrero,Mail (U.S. Postal Service),Export,10280.0,,
1993,Guerrero,Other/Unknown,Export,3189185.0,,
1993,Guerrero,Rail,Export,645710.0,,
1993,Guerrero,Truck,Export,15238214.0,,
1993,Hidalgo,Other/Unknown,Export,684620.0,,
1993,Hidalgo,Rail,Export,38317026.0,,
1993,Hidalgo,Truck,Export,101323242.0,,
1993,Jalisco,Mail (U.S. Postal Service),Export,1738256.0,,
1993,Jalisco,Other/Unknown,Export,45768527.0,,
1993,Jalisco,Rail,Export,214325373.0,,
1993,Jalisco,Truck,Export,1257318116.0,,
1993,Michoacan,Other/Unknown,Export,8880895.0,,
1993,Michoacan,Rail,Export,35141474.0,,
1993,Michoacan,Truck,Export,52933773.0,,
1993,Morelos,Mail (U.S. Postal Service),Export,7280.0,,
1993,Morelos,Other/Unknown,Export,1092201.0,,
1993,Morelos,Rail,Export,7334978.0,,
1993,Morelos,Truck,Export,170322417.0,,
1993,Nayarit,Other/Unknown,Export,196332.0,,
1993,Nayarit,Rail,Export,1070368.0,,
1993,Nayarit,Truck,Export,6540004.0,,
