Year,Month,CommodityGroup,Mode,TradeType,TradeValue,Weight,WeightLb
2007,1,Animal or Vegetable Fats & Oils,Air,Export,235170.0,3.07,6.77
2007,1,Animal or Vegetable Fats & Oils,Rail,Export,21382626.0,,
2007,1,Animal or Vegetable Fats & Oils,Rail,Import,1291987.0,1577.52,3477.83
2007,1,Animal or Vegetable Fats & Oils,Truck,Export,5341446.0,,
2007,1,Animal or Vegetable Fats & Oils,Truck,Import,2436806.0,1894.05,4175.66
2007,1,Animal or Vegetable Fats & Oils,Vessel,Export,5301088.0,10480.96,23106.53
2007,1,Animal or Vegetable Fats & Oils,Vessel,Import,38837.0,16.8,37.04
2007,1,Arms & Ammunition,Air,Export,10433.0,0.01,0.02
2007,1,Arms & Ammunition,Truck,Export,2526662.0,,
2007,1,Arms & Ammunition,Truck,Import,1928275.0,180.41,397.74
2007,1,Base Metals & Articles,Air,Export,7810903.0,546.22,1204.21
2007,1,Base Metals & Articles,Air,Import,3312077.0,153.92,339.34
2007,1,Base Metals & Articles,Foreign Trade Zones (FTZs),Import,4850982.0,549.38,1211.17
2007,1,Base Metals & Articles,Other/Unknown,Export,415019.0,,
2007,1,Base Metals & Articles,Rail,Export,142452670.0,,
2007,1,Base Metals & Articles,Rail,Import,189242311.0,158236.09,348850.45
2007,1,Base Metals & Articles,Truck,Export,760788779.0,,
2007,1,Base Metals & Articles,Truck,Import,511988863.0,243973.07,537867.91
2007,1,Base Metals & Articles,Vessel,Export,14099942.0,43099.7,95018.46
2007,1,Base Metals & Articles,Vessel,Import,82386424.0,136788.9,301567.54
2007,1,Chemical Products,Air,Export,65174257.0,582.16,1283.44
2007,1,Chemical Products,Air,Import,5418475.0,99.06,218.39
2007,1,Chemical Products,Other/Unknown,Export,1123875.0,,
2007,1,Chemical Products,Rail,Export,83594022.0,,
2007,1,Chemical Products,Rail,Import,20863247.0,53050.69,116956.61
2007,1,Chemical Products,Truck,Export,391922281.0,,
2007,1,Chemical Products,Truck,Import,147323497.0,96858.34,213535.83
2007,1,Chemical Products,Vessel,Export,267017015.0,395412.73,871734.81
2007,1,Chemical Products,Vessel,Import,20326032.0,28926.48,63771.9
2007,1,"Foodstuffs, Beverages & Tobacco",Air,Export,310229.0,27.69,61.05
2007,1,"Foodstuffs, Beverages & Tobacco",Air,Import,70735.0,15.85,34.94
2007,1,"Foodstuffs, Beverages & Tobacco",Foreign Trade Zones (FTZs),Import,2251960.0,368.37,812.12
2007,1,"Foodstuffs, Beverages & Tobacco",Other/Unknown,Export,2305117.0,,
2007,1,"Foodstuffs, Beverages & Tobacco",Other/Unknown,Import,29339.0,36.09,79.56
2007,1,"Foodstuffs, Beverages & Tobacco",Rail,Export,59821091.0,,
2007,1,"Foodstuffs, Beverages & Tobacco",Rail,Import,144903861.0,258788.79,570530.94
2007,1,"Foodstuffs, Beverages & Tobacco",Truck,Export,151777097.0,,
2007,1,"Foodstuffs, Beverages & Tobacco",Truck,Import,216323207.0,208397.6,459437.52
2007,1,"Foodstuffs, Beverages & Tobacco",Vessel,Export,4675621.0,6493.11,14314.84
2007,1,"Foodstuffs, Beverages & Tobacco",Vessel,Import,21697714.0,24908.96,54914.79
2007,1,"Footwear, Headgear & Umbrellas",Air,Export,421429.0,27.7,61.07
2007,1,"Footwear, Headgear & Umbrellas",Air,Import,497761.0,29.04,64.02
2007,1,"Footwear, Headgear & Umbrellas",Other/Unknown,Import,490.0,0.11,0.24
2007,1,"Footwear, Headgear & Umbrellas",Truck,Export,6984633.0,,
2007,1,"Footwear, Headgear & Umbrellas",Truck,Import,14463162.0,1050.06,2314.98
2007,1,"Footwear, Headgear & Umbrellas",Vessel,Export,81293.0,7.27,16.03
2007,1,"Footwear, Headgear & Umbrellas",Vessel,Import,118058.0,8.37,18.45
2007,1,Live Animals & Animal Products,Air,Export,2360053.0,356.01,784.87
2007,1,Live Animals & Animal Products,Air,Import,5769574.0,1160.02,2557.4
2007,1,Live Animals & Animal Products,Other/Unknown,Import,20275.0,10.69,23.57
2007,1,Live Animals & Animal Products,Rail,Export,7695792.0,,
2007,1,Live Animals & Animal Products,Rail,Import,123227.0,98.29,216.69
2007,1,Live Animals & Animal Products,Truck,Export,192008978.0,,
2007,1,Live Animals & Animal Products,Truck,Import,51054517.0,16057.87,35401.5
2007,1,Live Animals & Animal Products,Vessel,Export,3076831.0,5658.7,12475.28
2007,1,Live Animals & Animal Products,Vessel,Import,5033820.0,1189.51,2622.42
2007,1,Machinery & Electrical Equipment,Air,Export,325888883.0,1934.8,4265.5
2007,1,Machinery & Electrical Equipment,Air,Import,173375063.0,3725.87,8214.13
2007,1,Machinery & Electrical Equipment,Foreign Trade Zones (FTZs),Import,22110349.0,3559.62,7847.61
2007,1,Machinery & Electrical Equipment,Mail (U.S. Postal Service),Export,11038.0,,
2007,1,Machinery & Electrical Equipment,Other/Unknown,Export,2265574.0,,
2007,1,Machinery & Electrical Equipment,Other/Unknown,Import,20710.0,0.06,0.13
2007,1,Machinery & Electrical Equipment,Rail,Export,99579350.0,,
2007,1,Machinery & Electrical Equipment,Rail,Import,154964768.0,28206.31,62184.2
2007,1,Machinery & Electrical Equipment,Truck,Export,3469774332.0,,
2007,1,Machinery & Electrical Equipment,Truck,Import,5554368927.0,494093.59,1089288.61
2007,1,Machinery & Electrical Equipment,Vessel,Export,23496471.0,3174.64,6998.87
2007,1,Machinery & Electrical Equipment,Vessel,Import,9285610.0,1371.29,3023.17
2007,1,Mineral Products,Air,Export,390576.0,15.94,35.14
2007,1,Mineral Products,Air,Import,511851.0,3.12,6.88
2007,1,Mineral Products,Foreign Trade Zones (FTZs),Import,155964.0,88.13,194.29
2007,1,Mineral Products,Pipeline,Export,78803659.0,,
2007,1,Mineral Products,Pipeline,Import,9523925.0,23154.21,51046.23
2007,1,Mineral Products,Rail,Export,52124469.0,,
2007,1,Mineral Products,Rail,Import,9307637.0,130547.52,287807.67
2007,1,Mineral Products,Truck,Export,77634721.0,,
2007,1,Mineral Products,Truck,Import,43929752.0,132605.89,292345.6
2007,1,Mineral Products,Vessel,Export,154805541.0,745293.6,1643089.18
2007,1,Mineral Products,Vessel,Import,2283081571.0,8435046.65,18596072.55
2007,1,Miscellaneous Manufactured Articles,Air,Export,2308022.0,56.63,124.85
2007,1,Miscellaneous Manufactured Articles,Air,Import,1441231.0,77.35,170.53
2007,1,Miscellaneous Manufactured Articles,Other/Unknown,Export,19070.0,,
2007,1,Miscellaneous Manufactured Articles,Other/Unknown,Import,4671.0,0.1,0.22
2007,1,Miscellaneous Manufactured Articles,Rail,Export,738686.0,,
2007,1,Miscellaneous Manufactured Articles,Rail,Import,1231203.0,335.35,739.32
2007,1,Miscellaneous Manufactured Articles,Truck,Export,177285012.0,,
2007,1,Miscellaneous Manufactured Articles,Truck,Import,509083211.0,91621.59,201990.79
2007,1,Miscellaneous Manufactured Articles,Vessel,Export,5159115.0,610.87,1346.74
2007,1,Miscellaneous Manufactured Articles,Vessel,Import,3765636.0,787.21,1735.5
2007,1,"Optical, Medical & Precision Instruments",Air,Export,53526146.0,412.78,910.02
2007,1,"Optical, Medical & Precision Instruments",Air,Import,18605986.0,368.3,811.96
2007,1,"Optical, Medical & Precision Instruments",Foreign Trade Zones (FTZs),Import,1590073.0,57.28,126.28
2007,1,"Optical, Medical & Precision Instruments",Mail (U.S. Postal Service),Export,72659.0,,
2007,1,"Optical, Medical & Precision Instruments",Other/Unknown,Export,200297.0,,
2007,1,"Optical, Medical & Precision Instruments",Other/Unknown,Import,9671.0,0.02,0.04
2007,1,"Optical, Medical & Precision Instruments",Rail,Export,4838308.0,,
2007,1,"Optical, Medical & Precision Instruments",Rail,Import,2854991.0,60.63,133.67
2007,1,"Optical, Medical & Precision Instruments",Truck,Export,261888438.0,,
2007,1,"Optical, Medical & Precision Instruments",Truck,Import,545559179.0,26326.83,58040.66
2007,1,"Optical, Medical & Precision Instruments",Vessel,Export,1479285.0,49.13,108.31
2007,1,"Optical, Medical & Precision Instruments",Vessel,Import,306380.0,7.76,17.11
2007,1,Plastics & Rubber,Air,Export,4098969.0,179.87,396.54
