Year,Month,Country,Mode,TradeType,TradeValue,Weight,WeightLb
2007,1,Canada,Air,Export,1279470309.0,17597.66,38796.15
2007,1,Canada,Air,Import,664926605.0,6598.22,14546.57
2007,1,Canada,Foreign Trade Zones (FTZs),Import,42236111.0,38547.18,84981.88
2007,1,Canada,Mail (U.S. Postal Service),Export,3017569.0,0.0,0.0
2007,1,Canada,Mail (U.S. Postal Service),Import,2212.0,0.25,0.55
2007,1,Canada,Other/Unknown,Export,1575079862.0,0.0,0.0
2007,1,Canada,Other/Unknown,Import,1222413613.0,1735.85,3826.89
2007,1,Canada,Pipeline,Export,216214754.0,0.0,0.0
2007,1,Canada,Pipeline,Import,4288323970.0,7918414.95,17457095.97
2007,1,Canada,Rail,Export,1723847966.0,0.0,0.0
2007,1,Canada,Rail,Import,5322379293.0,7035133.1,15509795.13
2007,1,Canada,Truck,Export,12546683011.0,0.0,0.0
2007,1,Canada,Truck,Import,11784785459.0,5436231.28,11984824.2
2007,1,Canada,Vessel,Export,336107218.0,2567136.26,5659559.94
2007,1,Canada,Vessel,Import,1227084757.0,5341415.49,11775791.42
2007,1,Mexico,Air,Export,518657719.0,5087.48,11215.96
2007,1,Mexico,Air,Import,311924372.0,7782.1,17156.57
2007,1,Mexico,Foreign Trade Zones (FTZs),Import,65695812.0,7699.92,16975.4
2007,1,Mexico,Mail (U.S. Postal Service),Export,83697.0,0.0,0.0
2007,1,Mexico,Other/Unknown,Export,445920691.0,0.0,0.0
2007,1,Mexico,Other/Unknown,Import,209089496.0,139.04,306.53
2007,1,Mexico,Pipeline,Export,78803659.0,0.0,0.0
2007,1,Mexico,Pipeline,Import,9523925.0,23154.21,51046.23
2007,1,Mexico,Rail,Export,1309914578.0,0.0,0.0
2007,1,Mexico,Rail,Import,1541498598.0,849524.28,1872878.22
2007,1,Mexico,Truck,Export,7740849008.0,0.0,0.0
2007,1,Mexico,Truck,Import,10522801803.0,2540772.69,5601438.29
2007,1,Mexico,Vessel,Export,650732447.0,1841863.63,4060609.4
2007,1,Mexico,Vessel,Import,2666890746.0,8691826.36,19162174.23
2007,2,Canada,Air,Export,1253579361.0,19962.8,44010.39
2007,2,Canada,Air,Import,697946888.0,8042.19,17729.97
2007,2,Canada,Foreign Trade Zones (FTZs),Import,25431212.0,44989.36,99184.44
2007,2,Canada,Mail (U.S. Postal Service),Export,3706716.0,0.0,0.0
2007,2,Canada,Mail (U.S. Postal Service),Import,2068.0,0.22,0.49
2007,2,Canada,Other/Unknown,Export,1645237727.0,0.0,0.0
2007,2,Canada,Other/Unknown,Import,888708731.0,1201.65,2649.18
2007,2,Canada,Pipeline,Export,253519826.0,0.0,0.0
2007,2,Canada,Pipeline,Import,3960268756.0,6548922.01,14437884.44
2007,2,Canada,Rail,Export,1657033764.0,0.0,0.0
2007,2,Canada,Rail,Import,4691750511.0,5873027.75,12947794.44
2007,2,Canada,Truck,Export,13281002538.0,0.0,0.0
2007,2,Canada,Truck,Import,11709014077.0,5153585.61,11361697.91
2007,2,Canada,Vessel,Export,157879488.0,540002.9,1190501.19
2007,2,Canada,Vessel,Import,1087859109.0,3983176.27,8781390.07
2007,2,Mexico,Air,Export,471385294.0,4936.23,10882.51
2007,2,Mexico,Air,Import,285233764.0,7006.73,15447.18
2007,2,Mexico,Foreign Trade Zones (FTZs),Import,58641696.0,6839.42,15078.32
2007,2,Mexico,Mail (U.S. Postal Service),Export,9779.0,0.0,0.0
2007,2,Mexico,Other/Unknown,Export,375306457.0,0.0,0.0
2007,2,Mexico,Other/Unknown,Import,200147493.0,347.66,766.46
2007,2,Mexico,Pipeline,Export,31473265.0,0.0,0.0
2007,2,Mexico,Pipeline,Import,7511724.0,16852.39,37153.12
2007,2,Mexico,Rail,Export,1432641529.0,0.0,0.0
2007,2,Mexico,Rail,Import,2004708086.0,837114.8,1845520.03
2007,2,Mexico,Truck,Export,7008687499.0,0.0,0.0
2007,2,Mexico,Truck,Import,10431966635.0,2543931.35,5608401.93
2007,2,Mexico,Vessel,Export,736916641.0,1838362.25,4052890.18
2007,2,Mexico,Vessel,Import,2148736887.0,7376196.49,16261710.31
2007,3,Canada,Air,Export,1496715571.0,22079.62,48677.17
2007,3,Canada,Air,Import,826912749.0,9840.95,21695.56
2007,3,Canada,Foreign Trade Zones (FTZs),Import,26177662.0,46145.93,101734.24
2007,3,Canada,Mail (U.S. Postal Service),Export,4298597.0,0.0,0.0
2007,3,Canada,Mail (U.S. Postal Service),Import,11314.0,1.11,2.45
2007,3,Canada,Other/Unknown,Export,1989988671.0,0.0,0.0
2007,3,Canada,Other/Unknown,Import,953586242.0,1019.63,2247.9
2007,3,Canada,Pipeline,Export,222001488.0,0.0,0.0
2007,3,Canada,Pipeline,Import,4282120346.0,7552377.99,16650123.56
2007,3,Canada,Rail,Export,2342705431.0,0.0,0.0
2007,3,Canada,Rail,Import,6188136822.0,7930076.42,17482805.08
2007,3,Canada,Truck,Export,15306302087.0,0.0,0.0
2007,3,Canada,Truck,Import,13737391646.0,5884714.79,12973559.92
2007,3,Canada,Vessel,Export,289724150.0,1049001.35,2312649.36
2007,3,Canada,Vessel,Import,1385609479.0,4660574.81,10274796.44
2007,3,Mexico,Air,Export,581025173.0,5661.87,12482.27
2007,3,Mexico,Air,Import,328214561.0,7755.48,17097.89
2007,3,Mexico,Foreign Trade Zones (FTZs),Import,62598349.0,6982.19,15393.08
2007,3,Mexico,Mail (U.S. Postal Service),Export,58846.0,0.0,0.0
2007,3,Mexico,Other/Unknown,Export,380595800.0,0.0,0.0
2007,3,Mexico,Other/Unknown,Import,181191120.0,154.13,339.8
2007,3,Mexico,Pipeline,Export,49115799.0,0.0,0.0
2007,3,Mexico,Pipeline,Import,30989163.0,82522.9,181931.64
2007,3,Mexico,Rail,Export,1675747895.0,0.0,0.0
2007,3,Mexico,Rail,Import,2276773893.0,1005108.22,2215881.68
2007,3,Mexico,Truck,Export,7885171206.0,0.0,0.0
2007,3,Mexico,Truck,Import,12172595101.0,2994200.02,6601073.25
2007,3,Mexico,Vessel,Export,1001931701.0,2532440.91,5583069.88
2007,3,Mexico,Vessel,Import,3232384518.0,10256826.89,22612405.7
2007,4,Canada,Air,Export,1311710304.0,19442.74,42863.85
2007,4,Canada,Air,Import,700838969.0,8124.06,17910.47
2007,4,Canada,Foreign Trade Zones (FTZs),Import,77275784.0,226638.28,499651.28
2007,4,Canada,Mail (U.S. Postal Service),Export,3991921.0,0.0,0.0
2007,4,Canada,Mail (U.S. Postal Service),Import,10048.0,1.06,2.34
2007,4,Canada,Other/Unknown,Export,1685201229.0,0.0,0.0
2007,4,Canada,Other/Unknown,Import,1092653844.0,988.57,2179.42
2007,4,Canada,Pipeline,Export,361379775.0,0.0,0.0
2007,4,Canada,Pipeline,Import,4408278104.0,6589550.99,14527455.9
2007,4,Canada,Rail,Export,2188066201.0,0.0,0.0
2007,4,Canada,Rail,Import,5435997296.0,7520395.51,16579614.35
2007,4,Canada,Truck,Export,14307449332.0,0.0,0.0
2007,4,Canada,Truck,Import,12761408686.0,5667726.31,12495182.78
