Year,MexState,Mode,TradeType,TradeValue,Weight,WeightLb
1993,Aguascalientes,Other/Unknown,Export,5968364.0,,
1993,Aguascalientes,Rail,Export,16654034.0,,
1993,Aguascalientes,Truck,Export,283507042.0,,
1993,Baja California,Other/Unknown,Export,1227229.0,,
1993,Baja California,Rail,Export,51886.0,,
1993,Baja California,Truck,Export,13579627.0,,
1993,Baja California Sur,Rail,Export,18410.0,,
1993,Baja California Sur,Truck,Export,1156578.0,,
1993,Campeche,Rail,Export,124872.0,,
1993,Campeche,Truck,Export,12682310.0,,
1993,Chiapas,Mail (U.S. Postal Service),Export,67963.0,,
1993,Chiapas,Other/Unknown,Export,349483.0,,
1993,Chiapas,Rail,Export,425967.0,,
1993,Chiapas,Truck,Export,32506390.0,,
1993,Chihuahua,Other/Unknown,Export,747892155.0,,
1993,Chihuahua,Rail,Export,84608477.0,,
1993,Chihuahua,Truck,Export,6277294575.0,,
1993,Coahuila,Mail (U.S. Postal Service),Export,161897.0,,
1993,Coahuila,Other/Unknown,Export,573037382.0,,
1993,Coahuila,Rail,Export,483384055.0,,
1993,Coahuila,Truck,Export,1253307266.0,,
1993,Colima,Other/Unknown,Export,456729.0,,
1993,Colima,Rail,Export,3252863.0,,
1993,Colima,Truck,Export,19766344.0,,
1993,Distrito Federal,Mail (U.S. Postal Service),Export,2298419.0,,
1993,Distrito Federal,Other/Unknown,Export,215600052.0,,
1993,Distrito Federal,Rail,Export,1503260342.0,,
1993,Distrito Federal,Truck,Export,5648616098.0,,
1993,Durango,Other/Unknown,Export,25325218.0,,
1993,Durango,Rail,Export,48186545.0,,
1993,Durango,Truck,Export,130919819.0,,
1993,Estado de Mexico,Mail (U.S. Postal Service),Export,60685.0,,
1993,Estado de Mexico,Other/Unknown,Export,445504015.0,,
1993,Estado de Mexico,Rail,Export,274957403.0,,
1993,Estado de Mexico,Truck,Export,3244598149.0,,
1993,Guanajuato,Mail (U.S. Postal Service),Export,185542.0,,
1993,Guanajuato,Other/Unknown,Export,27647648.0,,
1993,Guanajuato,Rail,Export,60293643.0,,
1993,Guanajuato,Truck,Export,349596488.0,,
1993,Guerrero,Mail (U.S. Postal Service),Export,10280.0,,
1993,Guerrero,Other/Unknown,Export,3189185.0,,
1993,Guerrero,Rail,Export,645710.0,,
1993,Guerrero,Truck,Export,14126759.0,,
1993,Hidalgo,Other/Unknown,Export,444518.0,,
1993,Hidalgo,Rail,Export,38317026.0,,
1993,Hidalgo,Truck,Export,95182683.0,,
1993,Jalisco,Mail (U.S. Postal Service),Export,1738256.0,,
1993,Jalisco,Other/Unknown,Export,44761408.0,,
1993,Jalisco,Rail,Export,212371276.0,,
1993,Jalisco,Truck,Export,1142937748.0,,
1993,Michoacan,Other/Unknown,Export,8609549.0,,
1993,Michoacan,Rail,Export,35064741.0,,
1993,Michoacan,Truck,Export,50096368.0,,
1993,Morelos,Mail (U.S. Postal Service),Export,7280.0,,
1993,Morelos,Other/Unknown,Export,1092201.0,,
1993,Morelos,Rail,Export,7334978.0,,
1993,Morelos,Truck,Export,168401725.0,,
1993,Nayarit,Other/Unknown,Export,196332.0,,
1993,Nayarit,Rail,Export,1065169.0,,
1993,Nayarit,Truck,Export,4864860.0,,
1993,Nuevo Leon,Mail (U.S. Postal Service),Export,472934.0,,
1993,Nuevo Leon,Other/Unknown,Export,262988498.0,,
1993,Nuevo Leon,Rail,Export,392908470.0,,
1993,Nuevo Leon,Truck,Export,2514759593.0,,
1993,Oaxaca,Other/Unknown,Export,921851.0,,
1993,Oaxaca,Rail,Export,7364869.0,,
1993,Oaxaca,Truck,Export,8933364.0,,
1993,Puebla,Mail (U.S. Postal Service),Export,102780.0,,
1993,Puebla,Other/Unknown,Export,6112920.0,,
1993,Puebla,Rail,Export,58388508.0,,
1993,Puebla,Truck,Export,209484744.0,,
1993,Queretaro,Other/Unknown,Export,6980202.0,,
1993,Queretaro,Rail,Export,57854193.0,,
1993,Queretaro,Truck,Export,330934630.0,,
1993,Quintana Roo,Other/Unknown,Export,118333.0,,
1993,Quintana Roo,Rail,Export,298953.0,,
1993,Quintana Roo,Truck,Export,3319953.0,,
1993,San Luis Potosi,Mail (U.S. Postal Service),Export,41543.0,,
1993,San Luis Potosi,Other/Unknown,Export,31852051.0,,
1993,San Luis Potosi,Rail,Export,30652649.0,,
1993,San Luis Potosi,Truck,Export,283897856.0,,
1993,Sinaloa,Other/Unknown,Export,6994954.0,,
1993,Sinaloa,Rail,Export,8186119.0,,
1993,Sinaloa,Truck,Export,16065895.0,,
1993,Sonora,Other/Unknown,Export,10412676.0,,
1993,Sonora,Rail,Export,28750791.0,,
1993,Sonora,Truck,Export,24642952.0,,
1993,Tabasco,Other/Unknown,Export,427419.0,,
1993,Tabasco,Rail,Export,778432.0,,
1993,Tabasco,Truck,Export,16988352.0,,
1993,Tamaulipas,Mail (U.S. Postal Service),Export,3170962.0,,
1993,Tamaulipas,Other/Unknown,Export,359302383.0,,
1993,Tamaulipas,Rail,Export,178803215.0,,
1993,Tamaulipas,Truck,Export,3725499322.0,,
1993,Tlaxcala,Other/Unknown,Export,6435701.0,,
1993,Tlaxcala,Rail,Export,14007575.0,,
1993,Tlaxcala,Truck,Export,25887791.0,,
1993,Veracruz,Mail (U.S. Postal Service),Export,128080.0,,
1993,Veracruz,Other/Unknown,Export,15247919.0,,
1993,Veracruz,Rail,Export,39818849.0,,
1993,Veracruz,Truck,Export,100029320.0,,
1993,Yucatan,Other/Unknown,Export,38621.0,,
1993,Yucatan,Rail,Export,3094510.0,,
1993,Yucatan,Truck,Export,9979709.0,,
1993,Zacatecas,Other/Unknown,Export,2077103.0,,
1993,Zacatecas,Rail,Export,12477034.0,,
1993,Zacatecas,Truck,Export,17165074.0,,
1994,Aguascalientes,Other/Unknown,Export,1411856.0,,
1994,Aguascalientes,Rail,Export,10125140.0,,
1994,Aguascalientes,Truck,Export,317439673.0,,
1994,Baja California,Other/Unknown,Export,38786.0,,
1994,Baja California,Rail,Export,637080.0,,
1994,Baja California,Truck,Export,10233380.0,,
1994,Baja California Sur,Rail,Export,540341.0,,
1994,Baja California Sur,Truck,Export,3226183.0,,
1994,Campeche,Other/Unknown,Export,109900.0,,
1994,Campeche,Rail,Export,240069.0,,
1994,Campeche,Truck,Export,10370352.0,,
1994,Chiapas,Other/Unknown,Export,292574.0,,
