Year,PortCode,Port,Mode,TradeType,TradeValue,Weight,FreightCharges,Region,Lat,Lon,WeightLb
1993,2301,Brownsville,Mail (U.S. Postal Service),Import,10389.0,,207.0,Pharr,25.95155,-97.40067,
1993,2301,Brownsville,Other/Unknown,Export,1018926908.0,,,Pharr,25.95155,-97.40067,
1993,2301,Brownsville,Other/Unknown,Import,1741.0,,65.0,Pharr,25.95155,-97.40067,
1993,2301,Brownsville,Rail,Export,247832822.0,,,Pharr,25.95155,-97.40067,
1993,2301,Brownsville,Rail,Import,923277755.0,,18018013.0,Pharr,25.95155,-97.40067,
1993,2301,Brownsville,Truck,Export,2925570076.0,,,Pharr,25.95155,-97.40067,
1993,2301,Brownsville,Truck,Import,1390488327.0,,8660626.0,Pharr,25.95155,-97.40067,
1993,2302,Del Rio,Other/Unknown,Export,95617715.0,,,Laredo,29.326784,-100.927612,
1993,2302,Del Rio,Other/Unknown,Import,35571.0,,325.0,Laredo,29.326784,-100.927612,
1993,2302,Del Rio,Rail,Export,4511566.0,,,Laredo,29.326784,-100.927612,
1993,2302,Del Rio,Truck,Export,654362601.0,,,Laredo,29.326784,-100.927612,
1993,2302,Del Rio,Truck,Import,500355665.0,,2637680.0,Laredo,29.326784,-100.927612,
1993,2303,Eagle Pass,Other/Unknown,Export,33647480.0,,,Laredo,28.705483,-100.511977,
1993,2303,Eagle Pass,Other/Unknown,Import,100724.0,,2012.0,Laredo,28.705483,-100.511977,
1993,2303,Eagle Pass,Pipeline,Export,618329.0,,,Laredo,28.705483,-100.511977,
1993,2303,Eagle Pass,Rail,Export,579775228.0,,,Laredo,28.705483,-100.511977,
1993,2303,Eagle Pass,Rail,Import,453266425.0,,7435854.0,Laredo,28.705483,-100.511977,
1993,2303,Eagle Pass,Truck,Export,772982100.0,,,Laredo,28.705483,-100.511977,
1993,2303,Eagle Pass,Truck,Import,427773311.0,,5370126.0,Laredo,28.705483,-100.511977,
1993,2304,Laredo,Mail (U.S. Postal Service),Export,3157222.0,,,Laredo,27.499561,-99.507412,
1993,2304,Laredo,Other/Unknown,Export,5426567346.0,,,Laredo,27.499561,-99.507412,
1993,2304,Laredo,Other/Unknown,Import,10364642.0,,2374.0,Laredo,27.499561,-99.507412,
1993,2304,Laredo,Rail,Export,2808289787.0,,,Laredo,27.499561,-99.507412,
1993,2304,Laredo,Rail,Import,2055268714.0,,76967606.0,Laredo,27.499561,-99.507412,
1993,2304,Laredo,Truck,Export,13894316087.0,,,Laredo,27.499561,-99.507412,
1993,2304,Laredo,Truck,Import,3714456620.0,,72964814.0,Laredo,27.499561,-99.507412,
1993,2305,Hidalgo/Pharr,Mail (U.S. Postal Service),Export,5519207.0,,,Pharr,26.095032,-98.271092,
1993,2305,Hidalgo/Pharr,Mail (U.S. Postal Service),Import,6905.0,,209.0,Pharr,26.095032,-98.271092,
1993,2305,Hidalgo/Pharr,Other/Unknown,Export,445373279.0,,,Pharr,26.095032,-98.271092,
1993,2305,Hidalgo/Pharr,Rail,Export,8746355.0,,,Pharr,26.095032,-98.271092,
1993,2305,Hidalgo/Pharr,Rail,Import,51850955.0,,2358848.0,Pharr,26.095032,-98.271092,
1993,2305,Hidalgo/Pharr,Truck,Export,2290515511.0,,,Pharr,26.095032,-98.271092,
1993,2305,Hidalgo/Pharr,Truck,Import,1602234301.0,,24431035.0,Pharr,26.095032,-98.271092,
1993,2307,Rio Grande City,Other/Unknown,Export,148810.0,,,Pharr,26.365761,-98.802513,
1993,2307,Rio Grande City,Rail,Export,121967.0,,,Pharr,26.365761,-98.802513,
1993,2307,Rio Grande City,Truck,Export,80970299.0,,,Pharr,26.365761,-98.802513,
1993,2307,Rio Grande City,Truck,Import,22339259.0,,971510.0,Pharr,26.365761,-98.802513,
1993,2309,Progreso,Other/Unknown,Export,44817514.0,,,Pharr,26.062133,-97.949958,
1993,2309,Progreso,Rail,Export,437952.0,,,Pharr,26.062133,-97.949958,
1993,2309,Progreso,Rail,Import,34316616.0,,1197595.0,Pharr,26.062133,-97.949958,
1993,2309,Progreso,Truck,Export,29595041.0,,,Pharr,26.062133,-97.949958,
1993,2309,Progreso,Truck,Import,29043775.0,,390843.0,Pharr,26.062133,-97.949958,
1993,2310,Roma,Other/Unknown,Export,4792023.0,,,Pharr,26.403928,-99.018981,
1993,2310,Roma,Truck,Export,79593339.0,,,Pharr,26.403928,-99.018981,
1993,2310,Roma,Truck,Import,7633303.0,,168058.0,Pharr,26.403928,-99.018981,
1993,2402,El Paso,Mail (U.S. Postal Service),Import,55695.0,,794.0,El Paso,31.764363,-106.451188,
1993,2402,El Paso,Other/Unknown,Export,2420518153.0,,,El Paso,31.764363,-106.451188,
1993,2402,El Paso,Other/Unknown,Import,218091.0,,3374.0,El Paso,31.764363,-106.451188,
1993,2402,El Paso,Rail,Export,111901782.0,,,El Paso,31.764363,-106.451188,
1993,2402,El Paso,Rail,Import,781661751.0,,17756996.0,El Paso,31.764363,-106.451188,
1993,2402,El Paso,Truck,Export,6639812518.0,,,El Paso,31.764363,-106.451188,
1993,2402,El Paso,Truck,Import,5394466932.0,,22955696.0,El Paso,31.764363,-106.451188,
1993,2403,Presidio,Other/Unknown,Export,5677363.0,,,El Paso,29.561827,-104.394907,
1993,2403,Presidio,Rail,Export,2394631.0,,,El Paso,29.561827,-104.394907,
1993,2403,Presidio,Rail,Import,461062.0,,19548.0,El Paso,29.561827,-104.394907,
1993,2403,Presidio,Truck,Export,49686999.0,,,El Paso,29.561827,-104.394907,
1993,2403,Presidio,Truck,Import,46485759.0,,640453.0,El Paso,29.561827,-104.394907,
1993,2404,Fabens,Other/Unknown,Export,185084.0,,,El Paso,31.435334,-106.142669,
1993,2404,Fabens,Truck,Export,182499.0,,,El Paso,31.435334,-106.142669,
1993,2404,Fabens,Truck,Import,145723.0,,1341.0,El Paso,31.435334,-106.142669,
1994,2301,Brownsville,Mail (U.S. Postal Service),Export,433227.0,,,Pharr,25.95155,-97.40067,
1994,2301,Brownsville,Other/Unknown,Export,242208115.0,,,Pharr,25.95155,-97.40067,
1994,2301,Brownsville,Other/Unknown,Import,81887.0,,3103.0,Pharr,25.95155,-97.40067,
1994,2301,Brownsville,Rail,Export,338056438.0,,,Pharr,25.95155,-97.40067,
1994,2301,Brownsville,Rail,Import,1482200611.0,,29779656.0,Pharr,25.95155,-97.40067,
1994,2301,Brownsville,Truck,Export,3784635328.0,,,Pharr,25.95155,-97.40067,
1994,2301,Brownsville,Truck,Import,2281715585.0,,14456881.0,Pharr,25.95155,-97.40067,
1994,2302,Del Rio,Mail (U.S. Postal Service),Import,30796.0,,97.0,Laredo,29.326784,-100.927612,
1994,2302,Del Rio,Other/Unknown,Export,4035722.0,,,Laredo,29.326784,-100.927612,
1994,2302,Del Rio,Other/Unknown,Import,152657.0,,342.0,Laredo,29.326784,-100.927612,
1994,2302,Del Rio,Rail,Export,49730.0,,,Laredo,29.326784,-100.927612,
1994,2302,Del Rio,Truck,Export,811481462.0,,,Laredo,29.326784,-100.927612,
1994,2302,Del Rio,Truck,Import,735694349.0,,3922989.0,Laredo,29.326784,-100.927612,
1994,2303,Eagle Pass,Mail (U.S. Postal Service),Import,141741.0,,350.0,Laredo,28.705483,-100.511977,
1994,2303,Eagle Pass,Other/Unknown,Export,32085536.0,,,Laredo,28.705483,-100.511977,
1994,2303,Eagle Pass,Other/Unknown,Import,317560.0,,13922.0,Laredo,28.705483,-100.511977,
1994,2303,Eagle Pass,Pipeline,Export,245279.0,,,Laredo,28.705483,-100.511977,
1994,2303,Eagle Pass,Rail,Export,1436932018.0,,,Laredo,28.705483,-100.511977,
1994,2303,Eagle Pass,Rail,Import,556277158.0,,12098376.0,Laredo,28.705483,-100.511977,
