Year,StateCode,State,Country,Mode,TradeType,TradeValue,Weight,WeightLb
1993,AK,Alaska,Canada,Mail (U.S. Postal Service),Export,100978.0,,
1993,AK,Alaska,Canada,Mail (U.S. Postal Service),Import,50075.0,2.16,4.76
1993,AK,Alaska,Canada,Other/Unknown,Export,1455697.0,,
1993,AK,Alaska,Canada,Other/Unknown,Import,53455382.0,7.05,15.54
1993,AK,Alaska,Canada,Pipeline,Export,126789.0,,
1993,AK,Alaska,Canada,Rail,Export,1613886.0,,
1993,AK,Alaska,Canada,Rail,Import,1725808.0,6380.87,14067.39
1993,AK,Alaska,Canada,Truck,Export,39555345.0,,
1993,AK,Alaska,Canada,Truck,Import,38189632.0,24750.03,54564.41
1993,AK,Alaska,Mexico,Other/Unknown,Export,197003.0,,
1993,AK,Alaska,Mexico,Rail,Export,145354.0,,
1993,AK,Alaska,Mexico,Truck,Export,1799058.0,,
1993,AK,Alaska,Mexico,Truck,Import,4089977.0,,
1993,AL,Alabama,Canada,Mail (U.S. Postal Service),Export,21159.0,,
1993,AL,Alabama,Canada,Mail (U.S. Postal Service),Import,1308.0,0.01,0.02
1993,AL,Alabama,Canada,Other/Unknown,Export,26735353.0,,
1993,AL,Alabama,Canada,Other/Unknown,Import,173198.0,4.89,10.78
1993,AL,Alabama,Canada,Pipeline,Export,62568.0,,
1993,AL,Alabama,Canada,Rail,Export,31664906.0,,
1993,AL,Alabama,Canada,Rail,Import,104487866.0,418804.85,923305.55
1993,AL,Alabama,Canada,Truck,Export,402314861.0,,
1993,AL,Alabama,Canada,Truck,Import,237527159.0,179696.17,396161.77
1993,AL,Alabama,Mexico,Other/Unknown,Export,8948867.0,,
1993,AL,Alabama,Mexico,Other/Unknown,Import,20665.0,,
1993,AL,Alabama,Mexico,Rail,Export,38855668.0,,
1993,AL,Alabama,Mexico,Rail,Import,18949047.0,,
1993,AL,Alabama,Mexico,Truck,Export,160924336.0,,
1993,AL,Alabama,Mexico,Truck,Import,210364551.0,,
1993,AR,Arkansas,Canada,Mail (U.S. Postal Service),Export,2698.0,,
1993,AR,Arkansas,Canada,Other/Unknown,Export,15136223.0,,
1993,AR,Arkansas,Canada,Other/Unknown,Import,41487.0,95.77,211.14
1993,AR,Arkansas,Canada,Rail,Export,26264692.0,,
1993,AR,Arkansas,Canada,Rail,Import,89231124.0,130425.07,287537.72
1993,AR,Arkansas,Canada,Truck,Export,279558349.0,,
1993,AR,Arkansas,Canada,Truck,Import,156849580.0,86872.78,191521.47
1993,AR,Arkansas,Mexico,Other/Unknown,Export,25163771.0,,
1993,AR,Arkansas,Mexico,Other/Unknown,Import,341328.0,,
1993,AR,Arkansas,Mexico,Rail,Export,16339536.0,,
1993,AR,Arkansas,Mexico,Rail,Import,1319781.0,,
1993,AR,Arkansas,Mexico,Truck,Export,57634122.0,,
1993,AR,Arkansas,Mexico,Truck,Import,46717232.0,,
1993,AZ,Arizona,Canada,Mail (U.S. Postal Service),Export,18147.0,,
1993,AZ,Arizona,Canada,Mail (U.S. Postal Service),Import,16235.0,0.12,0.26
