Year,Country,Mode,TradeType,TradeValue,Weight,WeightLb
1993,Canada,Mail (U.S. Postal Service),Export,16493744.0,,
1993,Canada,Mail (U.S. Postal Service),Import,4688398.0,683.53,1506.92
1993,Canada,Other/Unknown,Export,18041459644.0,,
1993,Canada,Other/Unknown,Import,2535334995.0,9644.06,21261.49
1993,Canada,Pipeline,Export,78784736.0,,
1993,Canada,Pipeline,Import,6744526443.0,41958584.06,92502733.59
1993,Canada,Rail,Export,7886686903.0,,
1993,Canada,Rail,Import,16522423806.0,32523073.87,71701019.12
1993,Canada,Truck,Export,59944288351.0,,
1993,Canada,Truck,Import,51192036132.0,37383710.95,82416876.83
1993,Mexico,Mail (U.S. Postal Service),Export,6160726.0,,
1993,Mexico,Mail (U.S. Postal Service),Import,1333259.0,,
1993,Mexico,Other/Unknown,Export,7829641001.0,,
1993,Mexico,Other/Unknown,Import,438580112.0,,
1993,Mexico,Pipeline,Export,618329.0,,
1993,Mexico,Pipeline,Import,227810779.0,,
1993,Mexico,Rail,Export,2103568900.0,,
1993,Mexico,Rail,Import,6222798108.0,,
1993,Mexico,Truck,Export,18744071935.0,,
1993,Mexico,Truck,Import,19839542881.0,,
1994,Canada,Mail (U.S. Postal Service),Export,70569529.0,,
1994,Canada,Mail (U.S. Postal Service),Import,5547317.0,287.95,634.82
1994,Canada,Other/Unknown,Export,27395489878.0,,
1994,Canada,Other/Unknown,Import,3991574151.0,42189.16,93011.07
1994,Canada,Pipeline,Export,193853371.0,,
1994,Canada,Pipeline,Import,9728559613.0,62846183.07,138551952.12
1994,Canada,Rail,Export,22128962214.0,,
1994,Canada,Rail,Import,30322800351.0,47927799.18,105662584.63
1994,Canada,Truck,Export,153059185337.0,,
1994,Canada,Truck,Import,79456401325.0,55885841.3,123207043.45
1994,Mexico,Mail (U.S. Postal Service),Export,9735372.0,,
1994,Mexico,Mail (U.S. Postal Service),Import,1861880.0,,
1994,Mexico,Other/Unknown,Export,4803104884.0,,
1994,Mexico,Other/Unknown,Import,643485952.0,,
1994,Mexico,Pipeline,Export,446439.0,,
1994,Mexico,Pipeline,Import,187900655.0,,
1994,Mexico,Rail,Export,6897633408.0,,
1994,Mexico,Rail,Import,7769002773.0,,
1994,Mexico,Truck,Export,67694551372.0,,
1994,Mexico,Truck,Import,35013945270.0,,
1995,Canada,Foreign Trade Zones (FTZs),Import,207640317.0,40257.45,88752.38
1995,Canada,Mail (U.S. Postal Service),Export,60313417.0,,
1995,Canada,Mail (U.S. Postal Service),Import,5243988.0,1022.15,2253.45
1995,Canada,Other/Unknown,Export,25074048680.0,,
1995,Canada,Other/Unknown,Import,3888236267.0,3721.45,8204.38
1995,Canada,Pipeline,Export,136435051.0,,
1995,Canada,Pipeline,Import,10606587701.0,67665102.12,149175837.44
1995,Canada,Rail,Export,27819898206.0,,
1995,Canada,Rail,Import,39996872600.0,51004289.56,112445076.85
1995,Canada,Truck,Export,188074879118.0,,
1995,Canada,Truck,Import,88964914249.0,59043831.27,130169211.29
1995,Mexico,Foreign Trade Zones (FTZs),Import,1099153524.0,413450.41,911501.04
1995,Mexico,Mail (U.S. Postal Service),Export,45343279.0,,
1995,Mexico,Mail (U.S. Postal Service),Import,1252973.0,100.28,221.08
1995,Mexico,Other/Unknown,Export,3182400670.0,,
1995,Mexico,Other/Unknown,Import,768924379.0,6497.03,14323.48
1995,Mexico,Pipeline,Export,1065210.0,,
1995,Mexico,Pipeline,Import,27394482.0,228794.38,504404.67
1995,Mexico,Rail,Export,8840461486.0,,
1995,Mexico,Rail,Import,9137946078.0,3015699.82,6648472.14
1995,Mexico,Truck,Export,69725223637.0,,
1995,Mexico,Truck,Import,43014272051.0,10546600.45,23251246.28
1996,Canada,Foreign Trade Zones (FTZs),Import,223433401.0,106568.39,234942.8
1996,Canada,Mail (U.S. Postal Service),Export,54964208.0,,
1996,Canada,Mail (U.S. Postal Service),Import,6870355.0,6611.92,14576.77
1996,Canada,Other/Unknown,Export,25083633276.0,,
1996,Canada,Other/Unknown,Import,4968390785.0,37515.4,82707.2
1996,Canada,Pipeline,Export,188848127.0,,
1996,Canada,Pipeline,Import,12796162243.0,69323145.5,152831193.03
1996,Canada,Rail,Export,26253794729.0,,
1996,Canada,Rail,Import,39811012191.0,53808935.68,118628255.78
1996,Canada,Truck,Export,181574078730.0,,
1996,Canada,Truck,Import,98400755462.0,63718633.65,140475374.12
1996,Mexico,Foreign Trade Zones (FTZs),Import,2015644833.0,748874.11,1650982.84
1996,Mexico,Mail (U.S. Postal Service),Import,1525358.0,109.2,240.74
1996,Mexico,Other/Unknown,Export,4196759676.0,,
1996,Mexico,Other/Unknown,Import,639210776.0,6356.68,14014.06
1996,Mexico,Pipeline,Export,2299845.0,,
1996,Mexico,Pipeline,Import,8120219.0,124601.57,274699.11
1996,Mexico,Rail,Export,9603434059.0,,
1996,Mexico,Rail,Import,12297683361.0,5306022.24,11697762.75
1996,Mexico,Truck,Export,85670687249.0,,
1996,Mexico,Truck,Import,48349990324.0,15963431.45,35193300.24
1997,Canada,Foreign Trade Zones (FTZs),Import,122435295.0,128207.64,282649.13
1997,Canada,Mail (U.S. Postal Service),Export,25593772.0,,
1997,Canada,Mail (U.S. Postal Service),Import,357951.0,27.92,61.55
1997,Canada,Other/Unknown,Export,10196903995.0,,
1997,Canada,Other/Unknown,Import,3572468247.0,21419.08,47220.93
1997,Canada,Pipeline,Export,256581038.0,,
1997,Canada,Pipeline,Import,13879471184.0,72076188.3,158900606.25
1997,Canada,Rail,Export,23317484939.0,,
1997,Canada,Rail,Import,38293042491.0,56607741.1,124798558.18
1997,Canada,Truck,Export,216638640597.0,,
1997,Canada,Truck,Import,99814840232.0,66794313.91,147256080.33
1997,Mexico,Foreign Trade Zones (FTZs),Import,2119594219.0,472076.24,1040748.72
1997,Mexico,Mail (U.S. Postal Service),Export,150428.0,,
1997,Mexico,Mail (U.S. Postal Service),Import,159475.0,44.28,97.62
1997,Mexico,Other/Unknown,Export,4847468817.0,,
1997,Mexico,Other/Unknown,Import,668196266.0,9510.18,20966.33
1997,Mexico,Pipeline,Export,135004319.0,,
1997,Mexico,Pipeline,Import,3595254.0,84676.97,186680.54
1997,Mexico,Rail,Export,10560960686.0,,
1997,Mexico,Rail,Import,12646931446.0,5617278.12,12383963.69
1997,Mexico,Truck,Export,108439853447.0,,
1997,Mexico,Truck,Import,56716496950.0,17810239.19,39264809.52
1998,Canada,Foreign Trade Zones (FTZs),Import,177916758.0,117031.17,258009.26
1998,Canada,Mail (U.S. Postal Service),Export,7970502.0,,
1998,Canada,Mail (U.S. Postal Service),Import,1736879.0,230.85,508.94
1998,Canada,Other/Unknown,Export,11571853341.0,,
1998,Canada,Other/Unknown,Import,4575131543.0,6557.26,14456.27
1998,Canada,Pipeline,Export,106057777.0,,
1998,Canada,Pipeline,Import,11120091335.0,71943533.84,158608153.57
1998,Canada,Rail,Export,21701990853.0,,
1998,Canada,Rail,Import,37374081763.0,58785753.25,129600247.33
1998,Canada,Truck,Export,223998485212.0,,
1998,Canada,Truck,Import,108856723057.0,68017260.52,149952212.89
1998,Mexico,Foreign Trade Zones (FTZs),Import,2886691988.0,442063.51,974582.06
1998,Mexico,Mail (U.S. Postal Service),Export,99441.0,,
1998,Mexico,Mail (U.S. Postal Service),Import,166655.0,6.54,14.42
1998,Mexico,Other/Unknown,Export,5049920638.0,,
1998,Mexico,Other/Unknown,Import,917752553.0,9930.77,21893.57
1998,Mexico,Pipeline,Export,143310923.0,,
1998,Mexico,Pipeline,Import,2383433.0,63121.34,139158.57
1998,Mexico,Rail,Export,11495199742.0,,
1998,Mexico,Rail,Import,12029664622.0,5985858.89,13196544.23
1998,Mexico,Truck,Export,118280866426.0,,
1998,Mexico,Truck,Import,65883686596.0,19286194.51,42518730.14
1999,Canada,Foreign Trade Zones (FTZs),Import,111175376.0,107601.15,237219.65
1999,Canada,Mail (U.S. Postal Service),Export,6346423.0,,
1999,Canada,Mail (U.S. Postal Service),Import,13089003.0,181.6,400.36
1999,Canada,Other/Unknown,Export,12283630464.0,,
1999,Canada,Other/Unknown,Import,6386898151.0,49026.07,108083.85
1999,Canada,Pipeline,Export,113863544.0,,
1999,Canada,Pipeline,Import,12055490881.0,57610093.8,127008364.99
1999,Canada,Rail,Export,20672804303.0,,
1999,Canada,Rail,Import,46255372213.0,61408153.94,135381644.34
1999,Canada,Truck,Export,240636477802.0,,
1999,Canada,Truck,Import,118901435380.0,78677094.42,173453095.9
1999,Mexico,Foreign Trade Zones (FTZs),Import,2624357339.0,242299.13,534177.51
1999,Mexico,Mail (U.S. Postal Service),Export,743265.0,,
1999,Mexico,Mail (U.S. Postal Service),Import,215689.0,21.16,46.65
1999,Mexico,Other/Unknown,Export,4901759824.0,,
1999,Mexico,Other/Unknown,Import,1255828144.0,21131.3,46586.49
1999,Mexico,Pipeline,Export,279698303.0,,
1999,Mexico,Pipeline,Import,1549472.0,45669.47,100683.83
1999,Mexico,Rail,Export,10342180201.0,,
1999,Mexico,Rail,Import,14693445318.0,6681943.02,14731145.22
1999,Mexico,Truck,Export,131273618747.0,,
1999,Mexico,Truck,Import,76447963851.0,21679457.28,47794965.11
2000,Canada,Foreign Trade Zones (FTZs),Import,62798984.0,50281.45,110851.49
2000,Canada,Mail (U.S. Postal Service),Export,669500.0,,
2000,Canada,Mail (U.S. Postal Service),Import,4053831.0,80.54,177.56
2000,Canada,Other/Unknown,Export,12880705744.0,,
2000,Canada,Other/Unknown,Import,9571012422.0,44389.48,97861.94
2000,Canada,Pipeline,Export,270826836.0,,
2000,Canada,Pipeline,Import,23117108092.0,76000507.35,167552238.51
2000,Canada,Rail,Export,22573972367.0,,
2000,Canada,Rail,Import,49699239528.0,66094271.9,145712753.72
2000,Canada,Truck,Export,253087522790.0,,
2000,Canada,Truck,Import,127816281336.0,72445115.93,159713951.48
2000,Mexico,Foreign Trade Zones (FTZs),Import,2125681006.0,125426.39,276517.53
2000,Mexico,Mail (U.S. Postal Service),Export,45000.0,,
2000,Mexico,Mail (U.S. Postal Service),Import,552299.0,8.35,18.41
2000,Mexico,Other/Unknown,Export,5095925335.0,,
2000,Mexico,Other/Unknown,Import,1573883110.0,26687.89,58836.66
2000,Mexico,Pipeline,Export,508298883.0,,
2000,Mexico,Pipeline,Import,11533034.0,128690.38,283713.39
2000,Mexico,Rail,Export,19535096841.0,,
2000,Mexico,Rail,Import,21056113884.0,7314574.05,16125856.24
2000,Mexico,Truck,Export,162043341574.0,,
2000,Mexico,Truck,Import,88668745099.0,22804586.96,50275448.5
2001,Canada,Foreign Trade Zones (FTZs),Import,86067978.0,197037.33,434392.44
2001,Canada,Mail (U.S. Postal Service),Export,1570064.0,,
2001,Canada,Mail (U.S. Postal Service),Import,7238835.0,141.61,312.2
2001,Canada,Other/Unknown,Export,17939876535.0,,
2001,Canada,Other/Unknown,Import,10523789931.0,65640.55,144712.47
2001,Canada,Pipeline,Export,314816464.0,,
2001,Canada,Pipeline,Import,25908459316.0,75381270.9,166187057.45
2001,Canada,Rail,Export,22340313024.0,,
2001,Canada,Rail,Import,47197912163.0,66631588.83,146897333.37
2001,Canada,Truck,Export,231040133733.0,,
2001,Canada,Truck,Import,117129882407.0,69119662.23,152382589.75
